Regulon	CellType	RelativeActivity
386	ATF3(+)	CD14_monos_MPNAML_chr21amp	1.33652088167334
387	ATF4(+)	CD14_monos_MPNAML_chr21amp	1.66878581954298
388	ATF5(+)	CD14_monos_MPNAML_chr21amp	1.72446242575345
390	BACH1(+)	CD14_monos_MPNAML_chr21amp	2.22447021665194
391	BATF(+)	CD14_monos_MPNAML_chr21amp	2.76341087868565
392	BATF3(+)	CD14_monos_MPNAML_chr21amp	1.01930652355857
393	BCL11A(+)	CD14_monos_MPNAML_chr21amp	0.00434200665990143
394	BCL3(+)	CD14_monos_MPNAML_chr21amp	2.13929802321093
395	BCL6(+)	CD14_monos_MPNAML_chr21amp	1.6606295274262
398	BHLHE40(+)	CD14_monos_MPNAML_chr21amp	1.83783636575616
401	CEBPA(+)	CD14_monos_MPNAML_chr21amp	1.09384236566596
402	CEBPB(+)	CD14_monos_MPNAML_chr21amp	1.97856055753626
403	CEBPD(+)	CD14_monos_MPNAML_chr21amp	1.73312448478289
404	CEBPE(+)	CD14_monos_MPNAML_chr21amp	0.176637033329259
405	CEBPG(+)	CD14_monos_MPNAML_chr21amp	1.29303120005445
406	CENPB(+)	CD14_monos_MPNAML_chr21amp	0.50342920177738
407	CERS5(+)	CD14_monos_MPNAML_chr21amp	0.390604611945077
408	CHD1(+)	CD14_monos_MPNAML_chr21amp	0.877692839377195
409	CHD2(+)	CD14_monos_MPNAML_chr21amp	1.02945950865032
410	CIC(+)	CD14_monos_MPNAML_chr21amp	0.840650391269632
413	CREB3(+)	CD14_monos_MPNAML_chr21amp	1.76783215476938
414	CREB3L1(+)	CD14_monos_MPNAML_chr21amp	0.995754625803087
415	CREB3L2(+)	CD14_monos_MPNAML_chr21amp	0.131463597453415
416	CREB5(+)	CD14_monos_MPNAML_chr21amp	1.0790438889266
417	CREM(+)	CD14_monos_MPNAML_chr21amp	0.613552186323344
418	CSNK2B(+)	CD14_monos_MPNAML_chr21amp	0.841594487098092
420	CUX1(+)	CD14_monos_MPNAML_chr21amp	1.12325436990775
421	CYB5R1(+)	CD14_monos_MPNAML_chr21amp	0.418088192979733
422	DBP(+)	CD14_monos_MPNAML_chr21amp	0.410861233525908
423	DDIT3(+)	CD14_monos_MPNAML_chr21amp	1.84739289675978
428	E2F3(+)	CD14_monos_MPNAML_chr21amp	1.88144538319075
430	E2F6(+)	CD14_monos_MPNAML_chr21amp	0.0963815074145708
433	EGR1(+)	CD14_monos_MPNAML_chr21amp	1.41560432513501
434	EGR2(+)	CD14_monos_MPNAML_chr21amp	0.943208711822843
435	EGR3(+)	CD14_monos_MPNAML_chr21amp	1.30234043264496
436	EGR4(+)	CD14_monos_MPNAML_chr21amp	0.965569726017117
437	ELF1(+)	CD14_monos_MPNAML_chr21amp	0.896352041291086
438	ELF2(+)	CD14_monos_MPNAML_chr21amp	1.36882346901844
439	ELF3(+)	CD14_monos_MPNAML_chr21amp	1.67542506056832
440	ELF4(+)	CD14_monos_MPNAML_chr21amp	1.78012023145064
441	ELK3(+)	CD14_monos_MPNAML_chr21amp	0.518142109361167
443	EOMES(+)	CD14_monos_MPNAML_chr21amp	1.40175436990715
444	EP300(+)	CD14_monos_MPNAML_chr21amp	1.38233915657888
445	ESRRA(+)	CD14_monos_MPNAML_chr21amp	1.98908621716007
446	ETS1(+)	CD14_monos_MPNAML_chr21amp	0.0949314638395621
449	ETV3(+)	CD14_monos_MPNAML_chr21amp	1.98956721909525
451	ETV6(+)	CD14_monos_MPNAML_chr21amp	0.92937161844746
452	ETV7(+)	CD14_monos_MPNAML_chr21amp	1.40808265709759
454	FLI1(+)	CD14_monos_MPNAML_chr21amp	0.963675110808999
455	FOS(+)	CD14_monos_MPNAML_chr21amp	1.66820210150134
456	FOSB(+)	CD14_monos_MPNAML_chr21amp	1.44261450879547
457	FOSL1(+)	CD14_monos_MPNAML_chr21amp	1.32387690449619
458	FOSL2(+)	CD14_monos_MPNAML_chr21amp	1.83987055301117
459	FOXB1(+)	CD14_monos_MPNAML_chr21amp	0.627526284192715
460	FOXC1(+)	CD14_monos_MPNAML_chr21amp	0.354261358288752
464	FOXJ2(+)	CD14_monos_MPNAML_chr21amp	0.305923894592193
466	FOXK1(+)	CD14_monos_MPNAML_chr21amp	0.559143061982954
467	FOXK2(+)	CD14_monos_MPNAML_chr21amp	0.840241159357451
469	FOXN2(+)	CD14_monos_MPNAML_chr21amp	1.85952813397761
471	FOXO1(+)	CD14_monos_MPNAML_chr21amp	1.34310049497772
472	FOXO3(+)	CD14_monos_MPNAML_chr21amp	1.38044030511811
