TF	Target	Importance
574	METTL3	DYRK1A	0.0282774617048046
575	CUX1	DYRK1A	0.028209439797389
576	USF2	DYRK1A	0.0282017802832479
577	ZNF678	DYRK1A	0.028170675311729
578	LSM6	DYRK1A	0.0280502046122159
579	EZR	DYRK1A	0.0280327278812242
580	ZNF66	DYRK1A	0.0279065273708792
581	ZNF594	DYRK1A	0.0278953128949804
582	ZNF467	DYRK1A	0.0278922900495567
583	TERF2	DYRK1A	0.027760122133994
584	NNT	DYRK1A	0.0275664775268803
585	ZNF398	DYRK1A	0.0275040709322629
586	GFI1	DYRK1A	0.02749857058748
587	BAX	DYRK1A	0.027346317649786
588	TCF23	DYRK1A	0.0271734031656266
589	ZNF546	DYRK1A	0.0271451673867991
590	ZSCAN32	DYRK1A	0.0271171630123695
591	ZNF732	DYRK1A	0.0269662755383569
592	TSNAX	DYRK1A	0.0269081154321102
593	ZNF3	DYRK1A	0.0268948972944766
594	ZNF57	DYRK1A	0.0268404802356945
595	MXI1	DYRK1A	0.0266914639984919
596	ZNF808	DYRK1A	0.0263437290816263
597	ZNF420	DYRK1A	0.02627711000399
598	ZNF710	DYRK1A	0.0262153574824614
599	NKX2-3	DYRK1A	0.0262068281148412
600	IRF3	DYRK1A	0.0261333213139167
601	FOXP4	DYRK1A	0.0260982454124957
602	ZNF426	DYRK1A	0.025496257707558
603	TCF4	DYRK1A	0.0254962041293946
